"","campaign","name","keywords","",""
"156","SEM_Campaign","Kapunga Taichin","delicious kapunga taichin","Exact","Delicious"
"157","SEM_Campaign","Kapunga Taichin","delicious kapunga taichin","Phrase","Delicious"
"158","SEM_Campaign","Kapunga Taichin","+delicious +kapunga +taichin","Broad","Delicious"
"159","SEM_Campaign","Kapunga Taichin","low effort kapunga taichin","Exact","Low Effort"
"160","SEM_Campaign","Kapunga Taichin","low effort kapunga taichin","Phrase","Low Effort"
"161","SEM_Campaign","Kapunga Taichin","+low +effort +kapunga +taichin","Broad","Low Effort"
"162","SEM_Campaign","Kapunga Taichin","kapunga taichin quality delicious","Exact","Quality;Delicious"
"163","SEM_Campaign","Kapunga Taichin","kapunga taichin quality delicious","Phrase","Quality;Delicious"
"164","SEM_Campaign","Kapunga Taichin","+kapunga +taichin +quality +delicious","Broad","Quality;Delicious"
"165","SEM_Campaign","Kapunga Taichin","kapunga taichin quality low effort","Exact","Quality;Low Effort"
"166","SEM_Campaign","Kapunga Taichin","kapunga taichin quality low effort","Phrase","Quality;Low Effort"
"167","SEM_Campaign","Kapunga Taichin","+kapunga +taichin +quality +low +effort","Broad","Quality;Low Effort"
"168","SEM_Campaign","Kapunga Taichin","kapunga taichin delicious quality","Exact","Delicious;Quality"
"169","SEM_Campaign","Kapunga Taichin","kapunga taichin delicious quality","Phrase","Delicious;Quality"
"170","SEM_Campaign","Kapunga Taichin","+kapunga +taichin +delicious +quality","Broad","Delicious;Quality"
"171","SEM_Campaign","Kapunga Taichin","kapunga taichin delicious low effort","Exact","Delicious;Low Effort"
"172","SEM_Campaign","Kapunga Taichin","kapunga taichin delicious low effort","Phrase","Delicious;Low Effort"
"173","SEM_Campaign","Kapunga Taichin","+kapunga +taichin +delicious +low +effort","Broad","Delicious;Low Effort"
"174","SEM_Campaign","Kapunga Taichin","kapunga taichin low effort quality","Exact","Low Effort;Quality"
"175","SEM_Campaign","Kapunga Taichin","kapunga taichin low effort quality","Phrase","Low Effort;Quality"
"176","SEM_Campaign","Kapunga Taichin","+kapunga +taichin +low +effort +quality","Broad","Low Effort;Quality"
"177","SEM_Campaign","Kapunga Taichin","kapunga taichin low effort delicious","Exact","Low Effort;Delicious"
"178","SEM_Campaign","Kapunga Taichin","kapunga taichin low effort delicious","Phrase","Low Effort;Delicious"
"179","SEM_Campaign","Kapunga Taichin","+kapunga +taichin +low +effort +delicious","Broad","Low Effort;Delicious"
